city_x	station_id	request_date	answer_date	bike_available	name	address	banking	bonus	bike_stands	available_bike_stands	available_bikes	status	last_update	city_y	id	company	latitude	longitude	altitude	id_pollution	dist_bike_pollution
amiens	25	2022-06-02T17:52:55	2022-06-02T20:01	9	00025 - PLACE COMMANDERIE	Place de la Commanderie - Face au n°13	False	False	18	8.0	10.0	OPEN	1650455515000.0	nancy	25	JCDeceaux	48.6859179816784	6.1674218161464	218.0	FR30016	0.010195974742941
amiens	25	2022-06-02T17:52:55	2022-06-02T20:01	9	025-DALBY	61, boulevard Ernest Dalby	False	False	15	12.0	3.0	OPEN	1650455534000.0	nantes	25	JCDeceaux	47.223508869812	-1.52995959270347	9.0	FR23188	0.8412806561078812
amiens	25	2022-06-02T17:52:55	2022-06-02T20:01	9	25 - STATION MOBILE	187 rue Saint Julien	True	False	15	10.0	5.0	OPEN	1650455345000.0	rouen	25	JCDeceaux	49.42611	1.07496	8.0	FR25054	1.0714846798435609
amiens	25	2022-06-02T17:52:55	2022-06-02T20:01	9	00025 - PLACE ROUAIX	1 RUE DES TOURNEURS	True	False	18	0.0	17.0	OPEN	1650455538000.0	toulouse	25	JCDeceaux	43.59943504596716	1.445580732388259	156.0	FR12008	0.3601556007250245
amiens	25	2022-06-02T17:52:55	2022-06-02T20:01	9	025 Nouveau Saint-Roch				8					montpellier	25	En regie	43.599817	3.875757	41.0	FR08004	0.5982577081221381
amiens	8	2022-06-02T17:56:55	2022-06-02T20:01	5	08- VANMARCKE	Rue Edouard David	True	False	13	9.0	4.0	OPEN	1650455708000.0	amiens	8	JCDeceaux	49.896851505866685	2.301575828797199	27.0	FR18053	0.6204333978143282
amiens	8	2022-06-02T17:56:55	2022-06-02T20:01	5	08 - MARULAZ	Place Marulaz	False	False	10	7.0	3.0	OPEN	1650455263000.0	besancon	8	JCDeceaux	47.239595	6.017044	254.0	FR82514	0.197976689934412
amiens	8	2022-06-02T17:56:55	2022-06-02T20:01	5	08 - ROND POINT HOTEL DE VILLE	Avenue de la France Libre	True	False	34	21.0	13.0	OPEN	1650455548000.0	creteil	8	JCDeceaux	48.7773524472175	2.45537843175518	39.0	FR04034	0.743611475992371
amiens	8	2022-06-02T17:56:55	2022-06-02T20:01	5	08 - PORTE HAUTE	Rue Gutenberg angle rue l'Arsenal	False	False	15	10.0	5.0	OPEN	1650455739000.0	mulhouse	8	JCDeceaux	47.7469931994958	7.33206326834505	243.0	FR16069	0.9682816233760136
amiens	8	2022-06-02T17:56:55	2022-06-02T20:01	5	00008 - COURS LEOPOLD - SAINT MICHEL (CB)	Angle rue Saint-Michel et cours Léopold	True	False	18	17.0	1.0	OPEN	1650455321000.0	nancy	8	JCDeceaux	48.6956140662607	6.17676840786255	210.0	FR30032	0.1074896540318361
